name,credit,personal,corp
케이비핀테크(주),1,0,0
에이스펀딩(주),1,0,0
사단법인 롤링주빌리,1,0,0
버밀리온파트너스대부(유),1,0,0
그래프펀딩(주),1,0,0
(주)펀다,1,0,0
(주)투게더앱스,1,0,0
(주)타이탄인베스트,1,0,0
(주)코리아파이낸셜대부,1,0,0
(주)와이펀드,1,0,0
(주)오아시스펀드,1,0,0
(주)에프엠펀딩,1,0,0
(주)에잇퍼센트,1,0,0
(주)에이치비핀테크,1,0,0
(주)어니스트에이아이,1,0,0
(주)렌딧,1,0,0
(주)레드로켓,1,0,0
(주)럭키팜,1,0,0
(주)데일리펀딩,1,0,0
(주)다온핀테크,1,0,0
화인제팔차유동화전문(유),1,0,0
화인제칠차유동화전문(유),1,0,0
화인제육차유동화전문(유),1,0,0
하나케이제일차유동화전문(유),1,0,0
하나에프앤아이(주),1,0,0
하나에스에이치제일차유동화전문(유),1,0,0
하나송수제이차유동화전문(유),1,0,0
하나미래에셋제삼차유동화전문(유),1,0,0
피케이에프유동화전문(유),1,0,0
피에이치비제십차유동화전문(유),1,0,0
피더블유제이차유동화전문(유),1,0,0
피더블유유동화전문(유),1,0,0
티제이제일차유동화전문(유),1,0,0
케이제이제일차유동화전문(유),1,0,0
케이에프에스비이오일이유동화전문(유),1,0,0
케이에프에스비이오공육유동화전문(유),1,0,0
케이에프에스비이오공삼유동화전문(유),1,0,0
케이에프에스비이오공구유동화전문(유),1,0,0
케이에프에스비이사일이유동화전문(유),1,0,0
케이에프에스비이사공육유동화전문(유),1,0,0
케이에프에스비이사공구유동화전문(유),1,0,0
케이에이제팔차유동화전문(유),1,0,0
케이에이제일차유동화전문(유),1,0,0
케이에이제이차유동화전문(유),1,0,0
케이에이제육차유동화전문(유),1,0,0
케이에이제오차유동화전문(유),1,0,0
케이에이제십차유동화전문(유),1,0,0
케이에이제십일차유동화전문(유),1,0,0
케이에이제십이차유동화전문(유),1,0,0
케이에이제십육차유동화전문(유),1,0,0
케이에이제십오차유동화전문(유),1,0,0
케이에이제십삼차유동화전문(유),1,0,0
케이에이제십사차유동화전문(유),1,0,0
케이에이제삼차유동화전문(유),1,0,0
케이에이제사차유동화전문(유),1,0,0
케이에이제구차유동화전문(유),1,0,0
케이아이제5에이유동화전문(유),1,0,0
케이씨케이엘씨2406유동화전문(유),1,0,0
케이씨케이엔비2404유동화전문(유),1,0,0
케이씨케이2403유동화전문(유),1,0,0
케이씨제이2508유동화전문(유),1,0,0
케이씨에스비2412유동화전문(유),1,0,0
케이씨알에스제일차유동화전문(유),1,0,0
케이씨알에스제이차유동화전문(유),1,0,0
케이씨알에스제삼차유동화전문(유),1,0,0
케이씨아이엠씨2506유동화전문(유),1,0,0
케이씨시너지2506유동화전문(유),1,0,0
케이씨2506유동화전문(유),1,0,0
케이비스타제일차유동화전문(유),1,0,0
카르페디엠2512유동화전문(유),1,0,0
카르페디엠2509유동화전문(유),1,0,0
카르페디엠2506유동화전문(유),1,0,0
제네시스유동화전문(유),1,0,0
이에이케이제이차유동화전문(유),1,0,0
이에이에스제팔차유동화전문(유),1,0,0
이에이에스제칠차유동화전문(유),1,0,0
이에이에스제일차유동화전문(유),1,0,0
이에이에스제이차유동화전문(유),1,0,0
이에이에스제육차유동화전문(유),1,0,0
이에이에스제십차유동화전문(유),1,0,0
이에이에스제십일차유동화전문(유),1,0,0
